familia,H,K
PF00005,4.657690179106466,0.56807451831057
PF00006,4.569145999747449,0.4043771883632198
PF00009,4.744185068702714,0.5007369094296599
PF00012,4.823600496350963,0.5141830794004707
PF00013,4.8649101514275745,0.3951008865790278
PF00017,4.879944358318207,0.5476406533575318
PF00023,4.4775113422032025,0.1549185389255688
PF00025,4.665323634380219,0.5412770504942559
PF00026,4.443535984509988,0.5572916666666666
PF00027,4.555689048269371,0.6010292665176483
PF00035,4.714736465491027,0.5438626907073509
PF00036,4.555598259308718,0.33381853469189715
PF00042,4.433373866660145,0.5769653655854865
PF00043,4.268513205716997,0.5694278903456496
PF00069,4.7475580856763315,0.6215017737485219
PF00070,4.608995498971039,0.5950446250166511
PF00071,4.658682780281467,0.5170151701517015
PF00072,4.485248173527183,0.6042628774422736
PF00076,4.874584061259397,0.4745361231741019
PF00078,4.765958969224586,0.6096361185983827
PF00083,4.32293578316934,0.5396577526189081
PF00085,4.778930001725726,0.5024590163934426
PF00096,4.894034695899661,0.370583226905066
PF00097,4.348266414218037,0.6005453306066802
PF00106,4.510286306495002,0.596044351213665
PF00107,4.482630339878659,0.6081453418288273
PF00108,4.70572058613153,0.5451374916163648
PF00109,4.586492053615449,0.47123493975903613
PF00115,4.043691075879496,0.46261636203570394
PF00122,4.60693524629492,0.6043415340086831
PF00125,4.992662314647729,0.6116414435389989
PF00132,4.561414883340445,0.3473477406679764
PF00134,4.443149790236053,0.5256314699792961
PF00137,3.7853773325753868,0.35742830994508845
PF00149,4.60885911021819,0.572993670391498
PF00150,4.519181090443564,0.5684716012584865
PF00153,4.647166335818783,0.35747191011235957
PF00160,4.776898026177511,0.596974430650333
PF00168,4.998129187677567,0.4511254689453939
PF00169,4.960991839132492,0.6116359628404976
PF00170,4.448395114692268,0.5822784810126582
PF00171,4.623645349174174,0.592118612802066
PF00172,4.859623543307247,0.6648841354723708
PF00173,4.719139840709466,0.564622849580944
PF00176,4.748939413486178,0.6076513735078384
PF00179,4.666076346173237,0.5501894964807796
PF00201,4.645806927709037,0.4671905697445973
PF00202,4.491413800122396,0.6049530315969257
PF00205,4.499482733941186,0.5553701275479795
PF00226,4.780267004230539,0.5021862702229996
PF00237,4.911742633198269,0.5017201653883786
PF00240,4.897389222262972,0.5892382639503986
PF00249,4.902346766411288,0.49315270210572815
PF00258,4.632334546014924,0.5733187666909444
PF00268,4.419324200928953,0.4266875203942705
PF00270,4.611079078796763,0.568997434315222
PF00271,4.721952966089448,0.5595123984163367
PF00289,4.308105129527095,0.4918532634587899
PF00291,4.5933332481632325,0.6102905213733738
PF00294,4.615233113909002,0.6024521761458467
PF00300,4.786599136210869,0.5867555951645129
PF00310,4.796338802288827,0.536542739116619
PF00318,4.787866288378394,0.4569182594475056
PF00320,4.977697963266878,0.516995383969786
PF00324,4.188420857705122,0.5691126279863481
PF00327,4.8852425013377525,0.4874543239951279
PF00349,4.656923547959174,0.4674231581816943
PF00350,4.886294119940284,0.5485035629453682
PF00364,4.7523345317535215,0.5409550365981178
PF00368,4.497096952263607,0.47946950772965763
PF00370,4.686104167361203,0.61742006615215
PF00382,4.437084920210784,0.41488020176544765
PF00385,4.858066133033575,0.5658968330797953
PF00397,5.035033482010469,0.5182842602689931
PF00399,4.298555209403297,0.4297719087635054
PF00400,4.763015174552248,0.2116451820538246
PF00408,4.6953071178446875,0.592777898629541
PF00428,4.595998090791382,0.5012626262626263
PF00432,4.701997574178978,0.2023928215353938
PF00439,4.866665814367884,0.4435888033247769
PF00443,4.898178675990536,0.6150766897016686
PF00444,4.742848351820056,0.43760580411124544
PF00454,4.609674423435394,0.5605662285136501
PF00459,4.667239954667903,0.5894678138942001
PF00478,4.806077789112582,0.43884939172550336
PF00481,4.766045388698155,0.6088310984694568
PF00501,4.682168775116885,0.5654187827755629
PF00505,4.883701809141969,0.6415749855240301
PF00510,4.159903762277993,0.5158150851581509
PF00514,4.617134940872157,0.16182452062754213
PF00515,4.4179604117622775,0.2857142857142857
PF00533,4.764273704549679,0.46255951522146876
PF00534,4.477355112741889,0.61059394257244
PF00561,4.545219939093345,0.6208819940735576
PF00566,4.500831481614359,0.6091320606179886
PF00571,4.819438889693423,0.31692162572283966
PF00578,4.787496562554986,0.6054783319705642
PF00581,4.7907289257067385,0.623603255621465
PF00583,4.601831413976771,0.6068527155107567
PF00587,4.726370139846506,0.6424278846153846
PF00610,4.649278085809694,0.5470342304677293
PF00614,4.518672888299681,0.4721878862793572
PF00615,4.672222602384622,0.5987983067049024
PF00620,4.590585223976719,0.5972370630438101
PF00624,4.399617941754069,0.16053635133472752
PF00628,4.468953543336442,0.5459221160911095
PF00632,4.687601707999774,0.6101981544796147
PF00635,5.067696297897034,0.6088276979145576
PF00637,4.3320275047723635,0.28457009494510155
PF00638,4.692862630025188,0.2784859018926226
PF00642,4.751804278850097,0.45234248788368336
PF00646,4.660212133666571,0.5910273665320772
PF00664,4.354395569910451,0.4654007538581893
PF00665,4.858393759131858,0.6131939437635184
PF00674,4.523750258503697,0.4541899441340782
PF00682,4.542589783655311,0.5840179238237491
PF00684,4.82669689026676,0.49355417670888674
PF00687,4.914842588110126,0.5091344563200368
PF00690,4.743045696570335,0.6077785102175346
PF00702,4.6268487535353,0.5910041620011408
PF00710,4.692953902028938,0.5602256438710871
PF00735,4.902516036445389,0.5951653944020356
PF00743,4.792818175777772,0.5926204819277109
PF00753,4.560496727598561,0.6087758945386064
PF00763,4.62576265067051,0.489306306914825
PF00787,4.894454942472558,0.6050993536030644
PF00788,4.882234046274746,0.6010899182561308
PF00806,4.152821713983445,0.12440570522979398
PF00808,4.61047102565587,0.5916052183777651
PF00854,4.4372429166726635,0.5689033189033189
PF00875,4.722791173759576,0.6061448724905046
PF00899,4.696447331624689,0.6129470964232286
PF00903,4.6985430089675555,0.6010167768174886
PF00916,4.111780726074258,0.5537273337810611
PF00917,4.840125295677219,0.5811429949360983
PF00928,4.953746818559106,0.6002363135092557
PF00955,4.3915021918379225,0.45989174859162707
PF00956,4.923289717500607,0.500887288951985
PF00961,4.286237916121793,0.46227574342590316
PF00962,4.727271973965198,0.5854659113108029
PF00970,4.778102302648013,0.5649479424888448
PF00995,4.741605156189877,0.5612067498883525
PF01018,4.860022126221206,0.4612483280578887
PF01021,4.771285188139061,0.7414965986394558
PF01040,4.263141596146516,0.5029086611771881
PF01053,4.600434335522486,0.5817699115044248
PF01061,4.146858548832685,0.4924756144745148
PF01068,4.804086772508441,0.5996611213801601
PF01074,4.569881026518809,0.5520583533173461
PF01086,4.884101562879112,0.4698633310169099
PF01088,4.704517967098635,0.5038516336239164
